,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
sample_0,-62.755415218247876,94.07197345503899,-89.51983114148815,15.942566805201075,81.4235385516552,13.998291974178608,-7.716073434842703,-22.936552866446927,-32.837894290347826,2.202673613026599,7.2000176863619245,21.17120191972756,3.1054700423500825,2.219126366564396,-15.521486583048231,3.0792530779469702,8.449748973223178,-1.6031188543185955,-5.126839445790963,-2.6609677875848345,-4.475544920418724,-3.0296757301466353,2.7094469917446413,4.302852658529255,-4.770535750883368,-0.20344349043582716,8.32917456603845,-7.914947378959904,7.908808286931774,-3.1014259048058
sample_1,-2.4328963581446494,-90.585841842092,1.0673078663418616,53.08312041520644,-15.676683919256709,-60.84247198820829,-10.257369108096507,-48.82296684510944,14.25739361084281,12.214425575353838,-6.834230135845374,-24.260150938707007,-12.659803005194524,10.785267624781318,-1.7525431910668179,32.354341809568616,-23.311352001344048,4.386284202350398,24.2208720806323,-22.24900110611055,8.492298145635628,15.65059313971515,-6.02990813029339,-14.692739557049835,1.2814453347271226,-5.462365388395874,-1.2079707174887995,15.25505064158742,-14.22772590771816,-15.937022303962124
sample_2,-71.26685284821893,8.064607737822287,-66.11245485186389,-81.38147524875943,-7.525684984534284,-109.82427260166139,-5.519406951389226,-13.364487796904054,38.41572827087832,5.124862740147341,-22.613702940824787,-18.32036907850692,27.78577017711786,-17.78545435750561,10.524574071901894,-1.8665820492364147,-15.644462085305666,19.442986367736204,-0.3168494960263676,21.938410228586992,-8.624845605776198,17.298465629903976,-37.61231789264298,0.9469148941615884,9.058741161792268,8.124563323064503,17.14411847280424,-1.874028418255812,17.37186898954285,-19.801998247614197
sample_3,-84.77078549222465,73.24456574685995,-74.1809996203426,-27.022696864256975,-18.044894858608572,-50.116432885796094,3.495197163160028,-11.31851948452651,8.319658521087167,3.1494733322181445,19.993372346087355,-8.69420925177461,34.337026662853205,-4.153913281561169,-6.108136151671053,-5.152264280751654,-8.688436187962413,17.59721403173959,-2.39923736154006,8.704664347578559,10.822188223101529,-4.074585050561423,4.732977707478787,7.278880249146777,-7.756505030236809,15.070795558147713,13.979274286528959,6.779393041898581,7.712459430461968,-18.236011808480026
sample_4,-69.56017104295658,9.612940268791958,67.49754947786639,-34.86854266688206,-1.7958491119584525,6.676780319449445,2.840781501357518,16.78015332059847,-49.319753885174094,-10.508581134783366,25.60382766831846,-13.81081648033217,10.768382446878272,1.7644240878594173,-8.062921279292258,-10.978751492450026,15.329506231273491,2.4066943628855646,-0.09684892504251888,3.646866383961883,6.769582856968759,13.26956714682269,3.71715199865686,-0.37919002897152504,12.514806044503098,-5.438218548048519,9.42002650259411,14.290547288965675,-19.028460963360036,-10.073974415566877
sample_5,-36.3753197472166,101.35115725182156,-53.9319731196326,1.7381384326888525,3.940701670869289,8.23234937366229,-17.651078291619246,-17.76301984102946,15.129317281044552,-36.06998909696484,-25.38060716680146,11.079302993948488,-12.636281021527012,-8.334603062916349,-0.004453867545310965,-14.305766120553413,-16.4911297329629,22.421552872441115,10.411475721092332,12.62611982505193,-15.203200841489679,-0.5609033380748687,-13.057468883968761,21.889842824345624,15.410203043389963,-13.834375073836185,0.8529967211297872,5.781241608677082,-2.4964205195541718,-29.818799873584947
sample_6,85.06101648609086,43.28692110764508,-4.700780857015964,12.75260776996561,64.50378176242462,27.800133398857827,-23.55837915217934,19.8422770937008,-55.20666265623283,-39.011215050800935,-22.844503376781397,-14.922956544482421,-11.030969036485097,-22.90712000814732,22.95466574235819,-1.7192653449173079,15.202303173714752,-4.448946604416432,-22.156313994960296,-10.092790568055676,-11.835615054004997,-30.751375055065008,12.401125895304611,-24.149542245787856,2.3521170934686966,10.64929661672447,21.706674524632305,-23.465582418034572,-4.023057362753256,-10.343737096633445
sample_7,-17.294477718804632,114.85626098556428,-41.238139470270895,31.964753530389764,1.1524409386131464,43.193113703928056,-23.767544956358794,-37.582880540433024,-19.552878143432217,-31.24153510712277,-45.99951401782489,8.114864990921795,-23.955172120286825,-9.97487790343634,5.171119268653042,-6.06271845062321,-21.92314492351296,-33.903793916040165,-4.777621726550499,-8.427684693437707,-38.706293380464444,-2.896120480415064,-45.42400946102682,-10.066091483895212,14.340015396006764,-6.9193425331041105,-19.805969580665714,-7.401132722297814,-26.707209595786388,8.10163629691435
sample_8,-26.810811908597966,-27.29668115911847,52.64066465271652,1.3154223233203945,-50.541915519938385,-23.59884887240881,-92.141550252927,29.723885357286367,-30.41484582032782,-5.025418172163537,8.553694130134268,-13.693584579810247,-6.400818464072175,-8.867039111062137,-2.933147527638244,-2.2768586586324573,-7.088326879493449,-16.975570349771303,8.622970317557206,11.275575577283146,-4.572038283173043,-9.848248710451825,3.7546195674837697,5.964410191234793,0.5001357558411494,-3.279833135622078,-3.2847636596852254,8.113890412387985,-6.9629169410494915,-16.797384907233646
sample_9,-62.88201076142123,114.72023251615276,-70.84337695668171,-33.041429471154856,-12.030517178643937,-21.181798913699367,-11.963598822534715,6.862771343062713,-12.20919097602802,-42.62967592037115,-48.60817799686657,-0.5647381600397416,-7.824015210525338,-17.52583143082702,-2.178515835451588,-9.2301629711231,-12.665048875327509,19.77438578846147,6.745604505570436,19.77265264695673,-18.170310440118193,-2.2320898635390454,-27.658120814270447,-18.177477547883434,0.30611521143428283,10.705597337088744,1.2314207310701846,3.93904561099425,-25.20985195871824,24.551250063231702
